,d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed
4259,4.0,12.0,Viktor,Side.red,4.0,740.0,895.0,740.0,9.0,0.444444444,0.0,13.0,16.0,18902.0,0.0,10.0,113627,7883,Other,Many
4260,4.0,12.0,Vladimir,Side.red,2.0,5087.0,10616.0,5087.0,7.0,1.285714286,7.0,16.0,4.0,33704.0,2.0,14.0,153995,12767,TopLane_Jungle,Many
4261,4.0,7.0,Lulu,Side.blue,15.0,366.0,366.0,366.0,9.0,1.666666667,0.0,12.0,31.0,15131.0,0.0,66.0,13026,7339,Other,Few
4262,4.0,12.0,Malphite,Side.blue,,0.0,401.0,0.0,10.0,0.9,2.0,14.0,28.0,28516.0,0.0,18.0,109710,8789,TopLane_Jungle,Many
4263,4.0,14.0,Zyra,Side.blue,14.0,2092.0,,2092.0,11.0,1.363636364,1.0,14.0,39.0,25123.0,1.0,96.0,54196,9969,Other,Few
4264,4.0,12.0,Vex,Side.blue,6.0,1793.0,4055.0,1793.0,8.0,2.375,13.0,16.0,35.0,18060.0,2.0,19.0,144954,14604,Other,Many
4265,4.0,12.0,Ezreal,Side.blue,11.0,2183.0,11961.0,2183.0,8.0,3.625,18.0,17.0,7.0,27650.0,1.0,28.0,211016,18213,Other,Many
4266,4.0,3.0,Jinx,,,12587.0,20360.0,12587.0,,20.0,7.0,14.0,,11229.0,5.0,13.0,137377,11103,Other,Many
4267,14.0,4.0,Pantheon,Side.red,10.0,634.0,3449.0,,4.0,3.0,2.0,12.0,19.0,15270.0,0.0,96.0,36346,8904,Other,Few
4268,7.0,4.0,Lucian,Side.blue,6.0,,15399.0,4278.0,2.0,6.5,7.0,14.0,5.0,9635.0,2.0,12.0,140581,11234,Other,Many
4269,4.0,11.0,,Side.blue,16.0,1174.0,24040.0,1174.0,7.0,3.714285714,10.0,17.0,24.0,45501.0,1.0,27.0,182445,14877,TopLane_Jungle,Few
4270,,7.0,Lulu,Side.blue,18.0,224.0,1154.0,224.0,5.0,3.8,1.0,14.0,22.0,19484.0,0.0,81.0,16987,8911,Other,Few
4271,4.0,11.0,Nidalee,Side.blue,4.0,296.0,14460.0,296.0,6.0,1.666666667,6.0,13.0,2.0,25855.0,0.0,31.0,138065,10245,TopLane_Jungle,Few
4272,4.0,7.0,Lucian,Side.red,11.0,4559.0,11457.0,4559.0,4.0,5.0,9.0,15.0,1.0,13548.0,2.0,20.0,173762,13485,Other,Many
4273,4.0,6.0,Vayne,Side.red,4.0,5941.0,13423.0,5941.0,6.0,1.666666667,6.0,15.0,6.0,19767.0,,15.0,120759,11449,TopLane_Jungle,Many
4274,7.0,4.0,Draven,Side.blue,7.0,7321.0,13734.0,7321.0,4.0,4.5,11.0,15.0,10.0,17202.0,2.0,17.0,191764,15890,Other,Many
4275,4.0,12.0,Irelia,Side.blue,2.0,2787.0,3436.0,2787.0,5.0,0.8,2.0,12.0,7.0,23195.0,1.0,14.0,117766,7872,TopLane_Jungle,Many
4276,4.0,12.0,Shen,Side.red,20.0,1402.0,3658.0,1402.0,3.0,8.666666667000001,6.0,16.0,30.0,25921.0,1.0,,93769,11973,TopLane_Jungle,Many
4277,11.0,14.0,Zed,Side.red,7.0,1392.0,15955.0,1392.0,3.0,5.333333333,9.0,12.0,6.0,14643.0,1.0,14.0,113987,9839,TopLane_Jungle,Few
4278,4.0,12.0,Jayce,Side.blue,2.0,6236.0,12559.0,6236.0,5.0,1.4,5.0,16.0,8.0,20297.0,2.0,41.0,196579,13770,TopLane_Jungle,Many
4279,,11.0,Nidalee,Side.red,8.0,3010.0,33903.0,3010.0,1.0,,12.0,15.0,2.0,19112.0,2.0,44.0,176633,13999,TopLane_Jungle,Few
4280,12.0,4.0,,Side.blue,6.0,192.0,5111.0,192.0,14.0,0.642857143,3.0,15.0,30.0,31484.0,0.0,29.0,147327,11363,Other,Many
4281,4.0,12.0,Ryze,,,428.0,7315.0,428.0,7.0,1.571428571,5.0,15.0,18.0,22932.0,1.0,24.0,165037,11290,Other,Many
4282,7.0,,Soraka,,21.0,307.0,439.0,307.0,9.0,2.444444444,1.0,14.0,39.0,23089.0,1.0,89.0,15195,10074,Other,Few
4283,11.0,4.0,Rengar,Side.red,3.0,0.0,,0.0,6.0,0.833333333,2.0,,15.0,35764.0,0.0,25.0,140554,8577,TopLane_Jungle,Few
4284,4.0,11.0,LeeSin,Side.red,10.0,0.0,4474.0,0.0,8.0,1.875,5.0,14.0,16.0,37811.0,0.0,23.0,138779,10398,TopLane_Jungle,Few
4285,11.0,4.0,LeeSin,Side.blue,12.0,3385.0,32191.0,3385.0,3.0,8.0,,14.0,19.0,28083.0,1.0,37.0,146615,13591,TopLane_Jungle,Few
4286,11.0,4.0,Ekko,Side.red,2.0,0.0,16973.0,0.0,2.0,2.0,2.0,10.0,4.0,15112.0,0.0,15.0,91427,6361,TopLane_Jungle,Few
4287,4.0,7.0,Caitlyn,Side.blue,9.0,9693.0,18963.0,9693.0,4.0,3.75,6.0,16.0,17.0,14704.0,3.0,58.0,221211,15434,Other,Many
4288,4.0,12.0,Vladimir,Side.blue,9.0,4695.0,10150.0,4695.0,2.0,6.0,3.0,13.0,5.0,19381.0,2.0,26.0,105720,9816,Other,Many
4289,4.0,14.0,Lux,Side.red,18.0,2574.0,3183.0,2574.0,0.0,23.0,5.0,13.0,40.0,7169.0,1.0,52.0,53387,9822,Other,Few
4290,4.0,14.0,Leona,Side.red,10.0,0.0,0.0,0.0,6.0,1.833333333,1.0,9.0,25.0,11021.0,0.0,35.0,14362,5438,Other,Few
4291,4.0,7.0,Caitlyn,Side.blue,8.0,9170.0,15955.0,9170.0,2.0,10.0,12.0,18.0,29.0,29845.0,4.0,41.0,278065,17497,Other,Many
4292,,4.0,TwistedFate,,9.0,2766.0,2766.0,2766.0,2.0,7.0,5.0,14.0,41.0,13353.0,0.0,27.0,96060,9873,Other,Many
4293,4.0,3.0,Lucian,,7.0,7305.0,17067.0,7305.0,12.0,1.583333333,12.0,16.0,4.0,32072.0,3.0,43.0,252139,17596,Other,Many
4294,11.0,4.0,JarvanIV,Side.blue,14.0,1067.0,13535.0,1067.0,7.0,3.285714286,9.0,16.0,47.0,46142.0,2.0,20.0,184410,15258,TopLane_Jungle,Few
4295,11.0,4.0,XinZhao,Side.blue,2.0,0.0,8888.0,0.0,5.0,0.4,0.0,9.0,8.0,16164.0,0.0,9.0,66069,4854,TopLane_Jungle,Few
4296,14.0,4.0,Thresh,Side.red,,0.0,414.0,0.0,4.0,1.25,1.0,10.0,29.0,12024.0,,,19742,5081,Other,Few
4297,4.0,14.0,Leona,Side.red,8.0,0.0,249.0,0.0,12.0,0.833333333,2.0,,31.0,25391.0,0.0,,20754,6814,Other,Few
4298,21.0,4.0,KogMaw,Side.blue,2.0,1669.0,1669.0,1669.0,7.0,0.7142857140000001,3.0,10.0,11.0,10392.0,2.0,31.0,51706,6805,Other,Few
4299,14.0,4.0,Leona,Side.red,13.0,,1015.0,80.0,11.0,1.272727273,1.0,14.0,84.0,36394.0,0.0,93.0,21799,9330,Other,Few
4300,4.0,11.0,Gragas,,6.0,2921.0,38869.0,2921.0,4.0,3.0,6.0,17.0,18.0,39260.0,1.0,43.0,218202,13920,TopLane_Jungle,Few
4301,11.0,4.0,Qiyana,Side.red,4.0,0.0,7510.0,0.0,3.0,2.666666667,4.0,10.0,11.0,12296.0,0.0,18.0,81765,6024,TopLane_Jungle,Few
4302,4.0,11.0,LeeSin,Side.red,13.0,2526.0,22732.0,2526.0,6.0,3.666666667,9.0,,15.0,34903.0,2.0,32.0,170652,13557,TopLane_Jungle,Few
4303,4.0,12.0,Ekko,Side.blue,8.0,4760.0,6247.0,4760.0,4.0,2.5,2.0,15.0,12.0,20281.0,1.0,,152346,10404,Other,Many
4304,12.0,4.0,Corki,Side.blue,10.0,2376.0,8747.0,2376.0,10.0,1.5,5.0,15.0,4.0,19757.0,1.0,20.0,102877,11198,Other,Many
4305,4.0,14.0,Rakan,Side.blue,7.0,56.0,162.0,56.0,2.0,4.0,1.0,10.0,15.0,11011.0,0.0,39.0,17563,5763,Other,Few
4306,4.0,7.0,Caitlyn,Side.blue,5.0,6696.0,9053.0,6696.0,6.0,1.666666667,5.0,13.0,20.0,19380.0,3.0,25.0,151201,12225,Other,Many
4307,14.0,4.0,Lux,Side.blue,8.0,3319.0,3319.0,3319.0,1.0,,4.0,11.0,26.0,6606.0,2.0,66.0,30293,7939,Other,Few
4308,4.0,14.0,Thresh,Side.red,10.0,194.0,879.0,194.0,6.0,1.833333333,1.0,13.0,26.0,16091.0,0.0,65.0,16105,6819,Other,Few
4309,11.0,4.0,Talon,Side.red,6.0,0.0,15208.0,0.0,9.0,1.333333333,6.0,15.0,,32384.0,0.0,32.0,183689,11862,TopLane_Jungle,Few
4310,4.0,11.0,Zed,Side.red,14.0,1199.0,30073.0,1199.0,9.0,2.888888889,12.0,18.0,16.0,54716.0,1.0,45.0,320821,18340,TopLane_Jungle,Few
4311,7.0,4.0,Aphelios,Side.blue,8.0,6672.0,29247.0,6672.0,5.0,3.4,9.0,16.0,10.0,24326.0,0.0,47.0,235445,16097,Other,Many
4312,,14.0,Katarina,Side.blue,6.0,0.0,1702.0,0.0,6.0,,,16.0,1.0,26608.0,0.0,16.0,156295,12060,Other,Many
4313,12.0,4.0,Irelia,Side.red,3.0,3489.0,3489.0,3489.0,9.0,0.7777777779999999,4.0,14.0,18.0,,1.0,20.0,139615,11015,Other,Many
4314,4.0,14.0,Akshan,Side.red,12.0,4159.0,8236.0,4159.0,5.0,5.4,15.0,15.0,1.0,20597.0,1.0,22.0,134301,14945,Other,Many
4315,4.0,12.0,Orianna,Side.red,,2351.0,6986.0,2351.0,4.0,3.25,3.0,14.0,18.0,15291.0,1.0,5.0,118946,10290,Other,Many
4316,4.0,14.0,Lulu,Side.blue,20.0,695.0,2765.0,695.0,6.0,4.0,,14.0,24.0,13137.0,0.0,,15631,8719,Other,Few
4317,4.0,12.0,Leblanc,Side.blue,4.0,2606.0,2606.0,2606.0,3.0,3.333333333,6.0,11.0,16.0,10925.0,1.0,10.0,48844,8406,Other,Few
4318,12.0,4.0,Irelia,Side.blue,6.0,3918.0,3918.0,3918.0,9.0,1.222222222,5.0,14.0,12.0,31070.0,1.0,23.0,131048,10689,TopLane_Jungle,Many
4319,4.0,1.0,Jhin,Side.blue,1.0,231.0,330.0,231.0,5.0,0.2,0.0,8.0,7.0,7580.0,0.0,9.0,35066,4504,Other,Many
4320,3.0,4.0,Jhin,Side.blue,9.0,2984.0,4509.0,2984.0,4.0,2.75,2.0,11.0,10.0,7847.0,1.0,7.0,77279,7603,Other,Many
4321,4.0,12.0,Irelia,Side.blue,4.0,5670.0,16334.0,5670.0,5.0,4.0,16.0,16.0,18.0,30011.0,3.0,26.0,216816,17021,TopLane_Jungle,Many
4322,1.0,4.0,Aphelios,,4.0,872.0,3141.0,872.0,3.0,2.333333333,3.0,12.0,12.0,12158.0,0.0,16.0,100706,9431,Other,Many
4323,4.0,14.0,Blitzcrank,Side.blue,13.0,0.0,0.0,0.0,7.0,2.142857143,2.0,11.0,34.0,17148.0,0.0,38.0,16465,7382,Other,Few
4324,4.0,12.0,Heimerdinger,Side.blue,8.0,7517.0,17569.0,7517.0,5.0,4.0,12.0,15.0,19.0,14384.0,3.0,6.0,120037,13086,TopLane_Jungle,Many
4325,4.0,12.0,,Side.blue,0.0,1162.0,2670.0,1162.0,11.0,0.181818182,2.0,13.0,12.0,21988.0,0.0,13.0,107996,8381,TopLane_Jungle,Many
4326,4.0,1.0,Jhin,Side.red,,3813.0,20183.0,3813.0,2.0,8.0,8.0,17.0,38.0,15460.0,1.0,,234227,16390,Other,Many
4327,4.0,,,Side.blue,0.0,1298.0,1298.0,1298.0,8.0,0.0,0.0,12.0,23.0,19301.0,0.0,18.0,112624,8059,Other,Many
4328,4.0,12.0,Cassiopeia,Side.red,10.0,3763.0,24624.0,3763.0,7.0,2.428571429,7.0,17.0,37.0,25273.0,1.0,,184529,14850,Other,Many
4329,,4.0,Aphelios,Side.red,4.0,1828.0,1828.0,1828.0,7.0,1.571428571,7.0,13.0,,16346.0,0.0,27.0,99679,10675,Other,Many
